org-input_text	input_text
it's the type of thing that she was living down in florida	it's the type of thing that she was living down in Florida.
the other part of her family was up in new york state	the other part of her family was up in,  New York state.
the nursing home was the best facility to put her in	the nursing home was the,  best facility to put her in.
you essentially need to have someone taking care of the person full-time	you essentially need to have someone taking care of the person full-time.
you get one person who's a little bit dishonest working in there	you get one person who's a little bit dishonest working in there
the nurses and doctors really did n't put loving care for them	the nurses and doctors really didn't put  loving care for them.
either that or they're just so understaffed that they ca n't afford	Either that or they're just so understaffed that they can't afford
he'd much rather be living alone in his apartment down in florida	he'd much rather be living alone in his apartment down in Florida.
a bit of a shock to the system weather-wise if nothing else	a bit of a shock to the system, weather-wise, if nothing else.
there was n't anything like that that you could do in florida	There wasn't anything like that, that you could do in Florida?
pretty generous although you have to hold the stock for two years	pretty generous, although you have to hold the stock for two years
before you get the company contribution which is kind of pain	before you get the company contribution which is, kind of  pain,
medical plans to choose from that cover pretty much everything	medical plans to choose from,  that cover pretty much everything.
that sounds like you must feel really good about it	that sounds like you must feel really good about it.
i also have a part time job at a law firm	I also have a part time job at a law firm
before i got my degree i had done paralegal work	before I got my degree, I had,  done paralegal work
for a long time were just rolling in the dough in the	for a long time were just rolling in the dough in the
with the government it's not quite that nice a deal	with the government, it's not,  quite that nice a deal.
it's deducted from our check each month and that sort of thing	it's deducted from our check each month and that sort of thing,
think i'm actually involved in a relatively good at this point	think I'm actually involved in a relatively good  at this point.
i myself have moved around quite a bit within the company	I, myself have moved around quite a bit within the company
have n't had to move my residence to do that	haven't had to move my residence to do that.
i have a cousin whose husband works for hewlett packard	I have a cousin whose husband works for Hewlett Packard
our friend the president right now says no new taxes	our friend, the President, right now, says no new taxes,
always that real question are we getting a reasonable return investment	always that  real question  are we getting a reasonable return  investment.
i believe that the cure for polio is already founded	I believe that the cure for polio is already founded,
the poor president to either accept or reject the whole thing	the poor President  to,  either accept or reject the whole thing.
it sounds like think we'd be able to save some money by	it sounds like  think  we'd be able to save some money by,
there's a political term for this stuff pork barrel or something	there's a political term for this stuff, pork barrel or something.
even not for government even just for a small business	Even not for government, even just,  for a small business.
i guess nineteen ninety is when it start to drop off	I guess nineteen ninety is when it start to drop off,
that's probably not true only for atlanta but for just about anywhere	that's probably not true only for Atlanta, but for just about anywhere.
what kind of crime problem do you usually run into	what kind of crime problem do you usually run into?
and put it on the back and drove away with it	and put it on the back and drove away with it.
i guess most of the things that happen around here pretty innocuous	I guess most of the things that happen around here  pretty,  innocuous.
did surprise me because they were doing drug arrests like that	did surprise me, because,  they were doing drug arrests  like that,
you going to get ten or fifteen bucks for it	you going to get ten or fifteen bucks for it
get in pretty easy especially since there are bedrooms upstairs	get in pretty easy  especially,  since there are bedrooms upstairs
and people leave the door open while they're upstairs playing music	and people leave the door open,  while they're upstairs playing music,
i did n't know that they had been watching me	I didn't know that they had been watching me
i was getting ready go in my car one morning	I was getting ready  go in my car one morning
that is one of my big sources for current events information	that is one of my big sources for current events information.
my wife on the other hand is home most of the day	My wife,  on the other hand is home most of the day
we do n't have the national public radio my area	we don't have the,  national public radio  my area.
they almost take all emotions out of it when they	they almost take all emotions out of it when they
they seem to give more of just the facts than opinions	they seem to give more of just the facts than opinions.
think a lot of it is especially t v news	think a lot of it is,  especially T V news,
hope to be able to form my own opinion of it	hope to be able to form my own opinion of it.
a lot of time i do n't hear exactly write into it	a lot of time I don't hear exactly  write into it.
or not you agree with that law still circumventing it	or not you agree with that law,  still circumventing it.
if you're not doing it in order to circumvent the law though	if you're not doing it in order to circumvent the law though?
i'm unfamiliar with that because that end of the business	I'm unfamiliar with that because  that end of the business.
we budget them into what we call needs and wants list	we budget them into what we call  needs and wants list.
every month we put the same amount in for retirement	every month we put,   the same amount in for retirement.
a lot of that i do n't know how safe it is	a lot of that,  I don't know how safe it is.
this is the first year we've done it this way	this is the first year we've done it this way.
we're finding that we even have more money than we thought	we're finding that we even have more money than we thought.
do you have a set amount you spend each month	Do you have a set amount  you spend each month
we know which month we'll enough saved to go buy those	we know which month we'll enough saved to go buy those.
here in logan utah we've got a nice little valley here	here in Logan, Utah,  we've got a nice little valley here
we get a little bit of pollution in the valley	we get a little bit of pollution in the valley.
logan's up in the valley a little bit further north	Logan's up in the valley a little bit further north,
not in logan up here cause we're doing a lot better	not in Logan up here cause we're doing a lot better.
expanding it to more counties here as the population spreads out	expanding it to,  more counties here.   as the population spreads out
this is totally accidental that i have to talk about this topic	this is totally accidental that I have to talk about this topic.
they've tried to lock me up and things like that	they've tried to lock me up and,  things like that.
i also find everything is so slick and superficial and misguided	I also find   everything is so slick and superficial and misguided
